item_id,category_id,image_url,image_desc,dominant_color
0b73ad6696102b85153d3f5c3f0ca1a1,12ba81fb3ad68ad5b21e4cec7be42666,http://gw.alicdn.com/bao/uploaded/TB1kFORKXXXXXamapXXXXXXXXXX-174-174.png,Vans范斯官方正品 经典款Old Skool男女黑色低帮运动休闲板鞋,[255 255 255]
0b73ad6696102b85153d3f5c3f0ca1a1,12ba81fb3ad68ad5b21e4cec7be42666,http://gw.alicdn.com/bao/uploaded/TB1kFORKXXXXXamapXXXXXXXXXX-174-174.png,Vans范斯官方正品 经典款Old Skool男女黑色低帮运动休闲板鞋,[255 255 255]
04c0fdb5b73e1dd93a03e1a1795872dc,12ba81fb3ad68ad5b21e4cec7be42666,http://gw.alicdn.com/imgextra/i1/67/O1CN01joHzKc1CMj1pqZxM1_!!67-2-luban.png,Nike Air Force 1 AF空军一号男女中低帮经典休闲板鞋 315122-111,[116 110 107]
02741c6c85c5c5beeae5a6dc7aa61a9a,de802e3a05e11e88ddd894aa58e0f4d9,http://gw.alicdn.com/imgextra/i3/57/TB2pcqCpbZnBKNjSZFGXXbt3FXa_!!57-2-luban.png,人本帆布鞋女春季透气百搭护士鞋学生休闲平底布鞋女街拍小白鞋子,[ 95  99 113]
0010f9b75c1f27c5ba15c2339845dd42,b608ccb44928992e75009892971acd46,http://gw.alicdn.com/imgextra/i3/189/O1CN01jMz5pM1DGbMcSomxn_!!189-2-luban.png,EE 黑纱羊毛-平顶百搭 礼帽子 新款呢毡帽空姐款花朵3018,[103  33  46]
058e3e2462c5ba62cd0dc9851658e6dd,b608ccb44928992e75009892971acd46,http://gw.alicdn.com/imgextra/i1/137/O1CN01WGp4CY1Csmkwpir5M_!!137-2-luban.png,韩版冬季獭兔毛帽子皮草兔毛中老年针织护耳帽男女保暖编织菠萝帽,[67 65 72]
04da8f6778c6f1f47282b0ae72accb15,841c8877534da01768696cd2375bab70,http://gw.alicdn.com/imgextra/i3/126/O1CN013b5ksw1CnkPTZd1RI_!!126-2-luban.png,鸿澜奥地利水晶项链女短款项饰 韩国时尚饰品锁骨链配饰礼物,[34 32 29]
09842769e03213f09c891fb7695f4c72,95c3a26ab13f3ec5cd28a281e3685e7b,http://gw.alicdn.com/imgextra/i1/130/O1CN01BFIg331Cpa0pg1EPh_!!130-2-luban.png,日韩国耳饰品可爱猫眼石小天鹅时尚耳环耳坠无耳洞耳夹女生日礼物,[55 49 52]
0755e38eb68ef17b3d4fdf12579ff658,dab681fd76ae76e9421f7378ed0ed11d,http://gw.alicdn.com/imgextra/i3/104/O1CN01cK19wl1CdffO17FeI_!!104-2-luban.png,金丝绒棉衣男士外套冬季水貂皮草獭兔内胆商务棉服中年尼克服男装,[14 14 16]
0ad26615a3f88d98bc1c0a371bdddaec,852a581f78e4f4d7ecf9972a038e440c,http://gw.alicdn.com/imgextra/i4/50/TB2fopfnaigSKJjSsppXXabnpXa_!!50-2-luban.png,【清仓】回力雪地靴女棉鞋坡跟短靴加绒保暖鞋中筒高跟女靴子冬季,[29 29 31]
014a53273d003288918b5d66b8eae487,594c45bd75088c708c8acb043ca9b377,http://gw.alicdn.com/imgextra/i2/66/O1CN01LFSDfK1CMGdVdOr5H_!!66-2-luban.png,包邮雪花锆石假耳环无耳洞耳夹款夹式耳钉925银针无痛耳饰女韩国,[123 113 111]
013cad76440bebee71d7d16707cc988f,72b059d86956ec93bbe2ae5a6622f4bd,http://gw.alicdn.com/imgextra/i4/19/O1CN01zRXvm71C0k0i6fNsX_!!19-2-luban.png,加绒男士长袖t恤圆领保暖内衣男加厚体恤白色打底衫内搭紧身大码,[135 130 132]
04621a901000a3eb5446019b6462fcee,2deec110140f47a0a9b9fddf744f956e,http://gw.alicdn.com/imgextra/i2/45/O1CN01xurlvw1CCeJRSrJh3_!!45-2-luban.png,正品厂价真皮纯手工缝制美国西部牛仔鞋马靴马丁鞋TB800低帮男靴,[37 37 37]
041816a9ed766c32f6a36d2edabf1988,12ba81fb3ad68ad5b21e4cec7be42666,http://gw.alicdn.com/imgextra/TB1nbT5zVzqK1RjSZFCwu2bxVXa.png,亚瑟士鬼冢虎男女休闲鞋Mexico 66 paraty运动鞋TH6P4N-0142,[42 42 44]
0436f29872fd0a6849dcc2adfba3231c,7b0b5e99f45560c0f83ee235d461ca04,http://gw.alicdn.com/imgextra/i4/151/O1CN01Uaj8de1CzCIutKLzd_!!151-2-luban.png,Casio/卡西欧手表时尚简约运动防水学生女士石英手表 LRW-200H-2B,[110 141 150]
0b926ff08e1de36f218bb6437830c2ec,2450d5bfc87a1f5b96e2837f5c87a70c,http://gw.alicdn.com/imgextra/i1/13/O1CN01u9ZgHb1BxzcsunQUE_!!13-2-luban.png,2018秋冬新款女装OL长袖包臀裙修身显瘦连衣裙胖mm大码百搭打底裙,[56 47 39]
0bd936b24eaa24467620f32e00940cd6,9e3e1aff5fca5f418e5e3679ff932c05,http://gw.alicdn.com/imgextra/i1/48/TB2qRraXjnD8KJjSspbXXbbEXXa_!!48-2-luban.png,ins鞋子男士帆布鞋男鞋学生低帮板鞋潮鞋透气韩版休闲小白鞋男冬,[136 136 138]
0a0ee952a2afe818008e7fceeb1768d5,3e600277f4bf92983bf6fcb0ac09e0d7,http://gw.alicdn.com/imgextra/i3/30/O1CN011C5mM9dDn8YExf4_!!30-2-luban.png,澜懿秋冬厚款灯芯绒宽松灯笼裤高腰条绒裤花苞裤大码高腰休闲女裤,[47 41 36]
